im,lm,tp,tm,ct
4.0,0.0,0.0,1.0,Shadow
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
4.0,0.0,0.0,1.0,Texture
5.0,0.0,0.5,0.0,Occlusion
5.0,0.0,0.5,0.0,Occlusion
5.0,0.0,0.5,0.0,Occlusion
5.0,0.0,0.5,0.0,Shadow
5.0,0.0,0.5,0.0,Shadow
5.0,0.0,0.5,0.0,Shadow
5.0,0.0,0.5,0.0,Shadow
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
5.0,0.0,0.5,0.0,Texture
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
